,start time,end time,job ID,task index,machine ID,CPU rate,canonical memory usage,assigned memory usage,unmapped page cache,total page cache,maximum memory usage,disk I/O time,local disk space usage,maximum CPU rate,maximum disk IO time,cycles per instruction,memory accesses per instruction,sample portion,aggregation type,sampled CPU usage,CPU ratio usage,memory ratio usage,disk ratio usage,Efficiency
2089480,1984069000000,1984200000000,6435157515,0,4868433228,0.0006827999999999999,0.0006285,0.02734,0.0001068,0.0002775,0.0016879999999999998,,0.0,0.006966,,,,0,1,0.0,0.0015606857142857142,0.003889232673267327,0.0,0.0018166394625176805
2543507,1984800000000,1985100000000,6435157515,0,4868433228,3.433e-05,0.0005579,0.03693,0.00011440000000000003,0.0003548,0.0005769999999999999,,0.0,0.0001659,,,,0,1,0.0,7.846857142857142e-05,0.003452351485148515,0.0,0.0011769400188590287
283593,1985400000000,1985700000000,6435157515,0,4868433228,3.719e-05,0.0005455,0.03693,0.00011440000000000003,0.0003548,0.0005579,,0.0,0.0002689,,,,0,1,0.0,8.500571428571429e-05,0.003375618811881188,0.0,0.0011535415087223007
441833,1985700000000,1986000000000,6435157515,0,4868433228,3.719e-05,0.0005436,0.03693,0.00011440000000000003,0.0003548,0.0005579,,0.0,0.00015930000000000002,,,,0,1,0.0,8.500571428571429e-05,0.003363861386138614,0.0,0.0011496223668081094
604179,1986000000000,1986300000000,6435157515,0,4868433228,3.433e-05,0.0005417000000000001,0.03693,0.00011440000000000003,0.0003548,0.0005502999999999999,,0.0,0.0002422,,,,0,1,0.0,7.846857142857142e-05,0.0033521039603960404,0.0,0.0011435241772748707
822033,1986300000000,1986600000000,6435157515,0,4868433228,3.815e-05,0.0005407,0.03693,0.00011440000000000003,0.0003548,0.0005436,,0.0,0.00030139999999999995,,,,0,1,0.0,8.719999999999999e-05,0.0033459158415841584,0.0,0.0011443719471947195
996166,1986600000000,1986900000000,6435157515,0,4868433228,3.624e-05,0.0005388,0.03693,0.0001163,0.0003567,0.0005465,,0.0,0.0002728,,,,0,1,0.0,8.283428571428571e-05,0.003334158415841584,0.0,0.00113899756718529
1187554,1986900000000,1987200000000,6435157515,0,4868433228,4.292e-05,0.0005341,0.03693,0.0001183,0.00035860000000000004,0.0005369,,0.0,0.0003147,,,,0,1,0.0,9.810285714285714e-05,0.003305074257425743,0.0,0.0011343923715228666
1364027,1987200000000,1987500000000,6435157515,0,4868433228,4.387e-05,0.0005312,0.03693,0.0001183,0.00035860000000000004,0.000536,,0.0,0.0002565,,,,0,1,0.0,0.00010027428571428571,0.0032871287128712874,0.0,0.0011291343328618576
1546525,1987500000000,1987800000000,6435157515,0,4868433228,4.101e-05,0.0005292999999999999,0.03693,0.0001183,0.00035860000000000004,0.0005331,,0.0,0.000227,,,,0,1,0.0,9.373714285714286e-05,0.0032753712871287123,0.0,0.0011230361433286183
